size,distance_center,price
4.5,4.0,1299.0
3.5,2.0,995.0
5.5,6.0,1795.0
3.5,1.0,1395.0
3.5,9.0,800.0
3.5,3.0,1350.0
4.5,2.0,1650.0
3.5,5.0,900.0
4.5,8.0,875.0
5.5,8.0,1550.0
3.5,2.0,850.0
3.5,6.0,750.0
4.5,8.0,1149.0
4.5,5.0,1800.0
4.5,6.0,1200.0
4.5,6.0,850.0
3.5,6.0,1040.0
4.5,2.0,2425.0
4.5,2.0,2150.0
3.5,9.0,1100.0
3.5,2.0,1250.0
3.5,5.0,890.0
3.5,2.0,1675.0
4.5,9.0,1370.0
5.5,3.0,1850.0
3.5,9.0,1200.0
4.5,9.0,1850.0
5.5,8.0,857.0
3.5,2.0,1650.0
3.5,3.0,1425.0
3.5,4.0,685.0
5.5,9.0,2850.0
3.5,2.0,1475.0
3.5,6.0,1000.0
4.5,2.0,2325.0
3.5,4.0,1350.0
4.5,6.0,1495.0
4.5,7.0,980.0
4.5,5.0,1500.0
5.5,6.0,1550.0
5.5,8.0,1400.0
6.5,2.0,1750.0
7.5,3.0,2975.0
4.5,1.0,1800.0
3.5,1.0,1395.0
3.5,9.0,800.0
3.5,3.0,1350.0
4.5,2.0,1650.0
3.5,5.0,900.0
4.5,8.0,875.0
5.5,8.0,1550.0
3.5,2.0,850.0
3.5,6.0,750.0
4.5,8.0,1149.0
4.5,5.0,1800.0
4.5,6.0,1200.0
4.5,6.0,850.0
3.5,6.0,1040.0
4.5,2.0,2425.0
4.5,2.0,2150.0
3.5,9.0,1100.0
3.5,2.0,1250.0
3.5,5.0,890.0
3.5,2.0,1675.0
4.5,9.0,1370.0
5.5,3.0,1850.0
3.5,9.0,1200.0
4.5,9.0,1850.0
5.5,8.0,857.0
3.5,2.0,1650.0
3.5,3.0,1425.0
3.5,4.0,685.0
5.5,9.0,2850.0
3.5,2.0,1475.0
3.5,6.0,1000.0
4.5,2.0,2325.0
3.5,4.0,1350.0
4.5,6.0,1495.0
4.5,7.0,980.0
4.5,5.0,1500.0
5.5,6.0,1550.0
4.5,1.0,1900.0
4.5,2.0,1500.0
3.5,2.0,2400.0
4.5,3.0,1995.0
3.5,5.0,1200.0
4.5,4.0,1450.0
3.5,1.0,1395.0
3.5,9.0,800.0
3.5,3.0,1350.0
4.5,2.0,1650.0
3.5,5.0,900.0
4.5,8.0,875.0
5.5,8.0,1550.0
3.5,2.0,850.0
3.5,6.0,750.0
4.5,8.0,1149.0
4.5,5.0,1800.0
4.5,6.0,1200.0
4.5,6.0,850.0
3.5,6.0,1040.0
4.5,2.0,2425.0
4.5,2.0,2150.0
3.5,9.0,1100.0
3.5,2.0,1250.0
3.5,5.0,890.0
3.5,2.0,1675.0
4.5,9.0,1370.0
5.5,3.0,1850.0
3.5,9.0,1200.0
4.5,9.0,1850.0
5.5,8.0,857.0
3.5,2.0,1650.0
3.5,3.0,1425.0
3.5,4.0,685.0
5.5,9.0,2850.0
3.5,2.0,1475.0
3.5,6.0,1000.0
4.5,2.0,2325.0
3.5,4.0,1350.0
4.5,6.0,1495.0
4.5,7.0,980.0
4.5,5.0,1500.0
1.5,7.0,735.0
1.5,2.0,825.0
3.5,2.0,1400.0
4.5,1.0,1900.0
6.5,2.0,1750.0
4.5,4.0,1450.0
3.5,1.0,1395.0
3.5,9.0,800.0
3.5,3.0,1350.0
4.5,2.0,1650.0
3.5,5.0,900.0
4.5,8.0,875.0
5.5,8.0,1550.0
3.5,2.0,850.0
3.5,6.0,750.0
4.5,8.0,1149.0
4.5,5.0,1800.0
4.5,6.0,1200.0
4.5,6.0,850.0
3.5,6.0,1040.0
4.5,2.0,2425.0
4.5,2.0,2150.0
3.5,9.0,1100.0
3.5,2.0,1250.0
3.5,5.0,890.0
3.5,2.0,1675.0
4.5,9.0,1370.0
5.5,3.0,1850.0
3.5,9.0,1200.0
4.5,9.0,1850.0
5.5,8.0,857.0
3.5,2.0,1650.0
3.5,3.0,1425.0
3.5,4.0,685.0
5.5,9.0,2850.0
3.5,2.0,1475.0
3.5,6.0,1000.0
4.5,2.0,2325.0
3.5,4.0,1350.0
4.5,6.0,1495.0
4.5,7.0,980.0
4.5,5.0,1500.0
4.5,2.0,1720.0
5.5,4.0,2250.0
5.5,5.0,1590.0
4.5,5.0,1550.0
3.5,2.0,995.0
4.5,4.0,1450.0
3.5,1.0,1395.0
3.5,9.0,800.0
3.5,3.0,1350.0
4.5,2.0,1650.0
3.5,5.0,900.0
4.5,8.0,875.0
5.5,8.0,1550.0
3.5,2.0,850.0
3.5,6.0,750.0
4.5,8.0,1149.0
4.5,5.0,1800.0
4.5,6.0,1200.0
4.5,6.0,850.0
3.5,6.0,1040.0
4.5,2.0,2425.0
4.5,2.0,2150.0
3.5,9.0,1100.0
3.5,2.0,1250.0
3.5,5.0,890.0
3.5,2.0,1675.0
4.5,9.0,1370.0
5.5,3.0,1850.0
3.5,9.0,1200.0
4.5,9.0,1850.0
5.5,8.0,857.0
3.5,2.0,1650.0
3.5,3.0,1425.0
3.5,4.0,685.0
5.5,9.0,2850.0
3.5,2.0,1475.0
3.5,6.0,1000.0
4.5,2.0,2325.0
3.5,4.0,1350.0
4.5,6.0,1495.0
4.5,7.0,980.0
4.5,5.0,1500.0
4.5,10.0,562.0
3.5,4.0,1195.0
4.5,4.0,2175.0
3.5,2.0,1295.0
4.5,4.0,1375.0
4.5,4.0,1450.0
3.5,1.0,1395.0
3.5,9.0,800.0
3.5,3.0,1350.0
4.5,2.0,1650.0
3.5,5.0,900.0
4.5,8.0,875.0
5.5,8.0,1550.0
3.5,2.0,850.0
3.5,6.0,750.0
4.5,8.0,1149.0
4.5,5.0,1800.0
4.5,6.0,1200.0
4.5,6.0,850.0
3.5,6.0,1040.0
4.5,2.0,2425.0
4.5,2.0,2150.0
3.5,9.0,1100.0
3.5,2.0,1250.0
3.5,5.0,890.0
3.5,2.0,1675.0
4.5,9.0,1370.0
5.5,3.0,1850.0
3.5,9.0,1200.0
4.5,9.0,1850.0
5.5,8.0,857.0
3.5,2.0,1650.0
3.5,3.0,1425.0
3.5,4.0,685.0
5.5,9.0,2850.0
3.5,2.0,1475.0
3.5,6.0,1000.0
4.5,2.0,2325.0
3.5,4.0,1350.0
4.5,6.0,1495.0
4.5,7.0,980.0
4.5,5.0,1500.0
4.5,1.0,2150.0
4.5,9.0,1650.0
3.5,7.0,1400.0
1.5,1.0,995.0
5.5,6.0,1175.0
4.5,4.0,1450.0
3.5,1.0,1395.0
3.5,9.0,800.0
3.5,3.0,1350.0
4.5,2.0,1650.0
3.5,5.0,900.0
4.5,8.0,875.0
5.5,8.0,1550.0
3.5,2.0,850.0
3.5,6.0,750.0
4.5,8.0,1149.0
4.5,5.0,1800.0
4.5,6.0,1200.0
4.5,6.0,850.0
3.5,6.0,1040.0
4.5,2.0,2425.0
4.5,2.0,2150.0
3.5,9.0,1100.0
3.5,2.0,1250.0
3.5,5.0,890.0
3.5,2.0,1675.0
4.5,9.0,1370.0
5.5,3.0,1850.0
3.5,9.0,1200.0
4.5,9.0,1850.0
5.5,8.0,857.0
3.5,2.0,1650.0
3.5,3.0,1425.0
3.5,4.0,685.0
5.5,9.0,2850.0
3.5,2.0,1475.0
3.5,6.0,1000.0
4.5,2.0,2325.0
3.5,4.0,1350.0
4.5,6.0,1495.0
4.5,7.0,980.0
